Country,Goal,Window,Model Type,Model,params,Error (MSE),Error (R2),Prediction Year,Prediction,Actual Value,Prediction Error
Philippines,goal6,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0348e620>,"Intercept   -528.45
year           0.30
dtype: float64",0.1460013670539931,0.9605321507760547,2021,69.97142857142785,70.0,-0.02857142857214967
Philippines,goal7,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0348e320>,"Intercept   -759.87
year           0.41
dtype: float64",0.7748462064251472,0.8956937799043071,2021,59.028571428572945,59.0,0.02857142857294548
Philippines,goal8,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0349a530>,"Intercept   644.28
year         -0.29
dtype: float64",1.4485532011848192,0.6973964778676738,2021,64.22380952380763,68.0,-3.776190476192369
Philippines,goal9,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b034998a0>,"Intercept   -2637.25
year            1.33
dtype: float64",11.614217361585633,0.8600823451910427,2021,45.171428571429715,49.0,-3.828571428570285
Philippines,goal10,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0349bd60>,"Intercept   -1735.44
year            0.88
dtype: float64",19.9695830485305,0.6093035384738812,2021,36.21428571428578,49.0,-12.78571428571422
Philippines,goal11,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0349b580>,"Intercept   -812.45
year           0.43
dtype: float64",0.27507404875826896,0.9649794047688101,2021,61.56666666666672,61.0,0.5666666666667197
Philippines,goal12,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b034ba9b0>,"Intercept   146.48
year         -0.03
dtype: float64",0.21547049441786348,0.12272727272727013,2021,91.36666666666883,91.0,0.3666666666688343
Philippines,goal13,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b034b8940>,"Intercept   268.95
year         -0.09
dtype: float64",0.2636591478696722,0.5303571428571463,2021,95.72380952380843,96.0,-0.276190476191573
Philippines,goal14,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b034ba710>,"Intercept   -267.35
year           0.17
dtype: float64",1.476418318523582,0.4389610389610389,2021,73.85714285714272,75.0,-1.142857142857281
Philippines,goal15,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b034bba00>,"Intercept   -596.42
year           0.32
dtype: float64",3.3198450672135054,0.558754769547572,2021,54.49523809523771,57.0,-2.50476190476229
